Region/Municipality,Capital,Area (sq.km.),Population
Brong Ahafo,Sunyani,"39,557","2,310,983"
Asunafo North Municipal District,Goaso,,"124,685"
Asunafo South District,Kukuom,,"95,580"
Asutifi District,Kenyasi,,"105,843"
Atebubu Amantin District,Atebubu,,"105,938"
Berekum Municipal District,Berekum,,"129,628"
Dormaa East District,Wamfie,,"50,871"
Dormaa Municipal District,Dormaa-Ahenkro,,"159,789"
Jaman North District,Sampa,,"83,059"
Jaman South District,Drobo,,"92,649"
Kintampo North Municipal District,Kintampo,,"95,480"
Kintampo South District,Jema,,"81,000"
Nkoranza North District,Busunya,,"65,895"
Nkoranza South District,Nkoranza,,"100,929"
Pru District,Yeji,,"129,248"
Sene District,Kwame Danso,,"118,810"
Sunyani Municipal District,Sunyani,,"123,224"
Sunyani West District,Odumase,,"85,272"
Tain District,Nsawkaw,,"108,386"
Tano North District,Duayaw Nkwanta,,"79,973"
Tano South District,Bechem,,"78,129"
Techiman Municipal District,Techiman,,"206,856"
Wenchi Municipal District,Wenchi,,"89,739"
Northern,Tamale,"70,384","2,479,461"
Bole District,Bole,,"61,593"
Bunkprugu Yonyo District,Bunkpurugu,,"122,591"
Chereponi District,Chereponi,,"53,394"
East Gonja District,Salaga,,"135,450"
Gonja Central District,Buipe,,"87,877"
Gushiegu District,Gushiegu,,"111,259"
Karaga District,Karaga,,"77,706"
Kpandai District,Kpandai,,"108,816"
Mamprusi East District,Gambaga,,"121,009"
Mamprusi West District,Walewale,,"168,011"
Nanumba North District,Bimbilla,,"141,584"
Nanumba South District,Wulensi,,"93,464"
Saboba District,Saboba,,"65,706"
Savelugu Nanton District,Savelugu,,"139,283"
Sawla-Tuna-Kalba District,Sawla,,"99,863"
Tamale Metropolis District,Tamale,,"371,351"
Tolon Kumbugu District,Tolon,,"112,331"
West Gonja District,Damongo,,"84,727"
Yendi Municipal District,Yendi,,"199,592"
Zabzugu Tatali District,Zabzugu,,"123,854"
Upper East,Bolgatanga,"8,842","1,046,545"
Bawku Municipal District,Bawku,,"217,791"
Bawku West District,Zebilla,,"94,034"
Bolgatanga Municipal District,Bolgatanga,,"131,550"
Bongo District,Bongo,,"84,545"
Builsa District,Sandema,,"92,991"
Garu Tempane District,Garu,,"130,003"
Kasena Nankana East District,Navrongo,,"109,944"
Kasena Nankana West District,Paga,,"70,667"
Talensi Nabdam District,Tongo,,"115,020"
Upper West,Wa,"18,476","702,110"
Jirapa District,Jirapa,,"88,402"
Lambussie Karni District,Lambussie,,"51,654"
Lawra District,Lawra,,"100,929"
Nadowli District,Nadowli,,"94,388"
Sissala East District,Tumu,,"56,528"
Sissala West District,Gwollu,,"49,573"
Wa East District,Funsi,,"72,074"
Wa Municipal District,Wa,,"107,214"
Wa West District,Wechiau,,"81,348"
Total Population,,"238,533","24,658,823"
